family,condition,episode,seed,difficulty,status,success,steps,retrieval_model,retrieval_selected_lesson_fraction,retrieval_selected_filler_fraction,retrieval_selected_query_fraction
InsertPeg,k3,2,630200,medium,fail,0,97,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,3,630300,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,4,630400,easy,success,1,258,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,5,630500,easy,fail,0,109,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,6,630600,medium,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,7,630700,hard,fail,0,96,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,8,630801,easy,fail,0,109,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,9,630901,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,10,631000,medium,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,11,631100,hard,fail,0,97,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,12,631200,easy,fail,0,107,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,13,631300,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,14,631400,medium,fail,0,104,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,15,631501,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,16,631600,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,17,631701,easy,fail,0,101,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,18,631800,medium,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,19,631900,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,20,632000,easy,fail,0,439,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,21,632101,easy,fail,0,88,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,22,632200,medium,success,1,200,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,23,632300,hard,success,1,244,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,24,632400,easy,fail,0,88,siglip-so400m/visual-episodic-absthr,0.875,0.09375,0.03125
InsertPeg,k3,25,632500,easy,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,26,632600,medium,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,27,632700,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,28,632800,easy,fail,0,91,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,29,632901,easy,fail,0,94,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,30,633000,medium,fail,0,140,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,31,633100,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,32,633200,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,33,633300,easy,fail,0,121,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,34,633401,medium,fail,0,90,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,35,633500,hard,fail,0,165,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,36,633600,easy,fail,0,112,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,37,633700,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,38,633801,medium,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,39,633901,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,40,634000,easy,fail,0,97,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,41,634100,easy,fail,0,108,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,42,634201,medium,fail,0,91,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,43,634300,hard,fail,0,114,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,44,634400,easy,fail,0,107,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,45,634500,easy,fail,0,108,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,46,634601,medium,fail,0,106,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,47,634700,hard,fail,0,108,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,48,634800,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k3,49,634900,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,0,630000,easy,fail,0,106,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,1,630100,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,2,630200,medium,fail,0,99,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,3,630300,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,4,630400,easy,success,1,259,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,5,630500,easy,fail,0,112,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,6,630600,medium,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,7,630700,hard,fail,0,96,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,8,630801,easy,fail,0,109,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,9,630901,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,10,631000,medium,fail,0,104,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,11,631100,hard,fail,0,264,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,12,631200,easy,fail,0,107,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,13,631300,easy,success,1,432,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,14,631400,medium,fail,0,104,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,15,631501,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,16,631600,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,17,631701,easy,fail,0,101,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,18,631800,medium,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,19,631900,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,20,632000,easy,fail,0,1285,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,21,632101,easy,fail,0,88,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,22,632200,medium,success,1,195,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,23,632300,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,24,632400,easy,fail,0,92,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,25,632500,easy,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,26,632600,medium,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,27,632700,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,28,632800,easy,fail,0,87,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,29,632901,easy,fail,0,94,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,30,633000,medium,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,31,633100,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,32,633200,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,33,633300,easy,fail,0,121,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,34,633401,medium,fail,0,91,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,35,633500,hard,fail,0,109,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,36,633600,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,37,633700,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,38,633801,medium,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,39,633901,hard,fail,0,119,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,40,634000,easy,fail,0,97,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,41,634100,easy,fail,0,108,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,42,634201,medium,fail,0,91,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,43,634300,hard,fail,0,114,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,44,634400,easy,fail,0,138,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,45,634500,easy,fail,0,168,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,46,634601,medium,fail,0,104,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,47,634700,hard,fail,0,107,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,48,634800,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k7,49,634900,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
MoveCube,k0,0,640000,easy,success,1,166,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
MoveCube,k0,1,640101,easy,success,1,222,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
MoveCube,k0,2,640200,medium,success,1,162,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
MoveCube,k0,3,640300,hard,success,1,205,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
